title,wikipedia_link
Johnny Bravo,https://en.wikipedia.org/wiki/Johnny_Bravo
Tinga Tinga Tales,https://en.wikipedia.org/wiki/Tinga_Tinga_Tales
Rugrats,https://en.wikipedia.org/wiki/Rugrats
DuckTales,https://en.wikipedia.org/wiki/DuckTales
Kick Buttowski: Suburban Daredevil,https://en.wikipedia.org/wiki/Kick_Buttowski:_Suburban_Daredevil
The Loud House,https://en.wikipedia.org/wiki/The_Loud_House
Courage the Cowardly Dog,https://en.wikipedia.org/wiki/Courage_the_Cowardly_Dog
The Backyardigans,https://en.wikipedia.org/wiki/The_Backyardigans
Avatar: The Last Airbender,https://en.wikipedia.org/wiki/Avatar:_The_Last_Airbender
The Legend of Korra,https://en.wikipedia.org/wiki/The_Legend_of_Korra
Madeline,https://en.wikipedia.org/wiki/Madeline_(TV_series)
Crayon Shin-chan,https://en.wikipedia.org/wiki/Crayon_Shin-chan
Doraemon,https://en.wikipedia.org/wiki/Doraemon_(2005_TV_series)
Sailor Moon,https://en.wikipedia.org/wiki/Sailor_Moon_(TV_series)
Dexter's Laboratory,https://en.wikipedia.org/wiki/Dexter%27s_Laboratory
The Powerpuff Girls,https://en.wikipedia.org/wiki/The_Powerpuff_Girls
Samurai Jack,https://en.wikipedia.org/wiki/Samurai_Jack
The Smurfs,https://en.wikipedia.org/wiki/The_Smurfs_(1981_TV_series)
Felix the Cat,https://en.wikipedia.org/wiki/Felix_the_Cat_(TV_series)
The Pink Panther Show,https://en.wikipedia.org/wiki/The_Pink_Panther_Show
Popeye the Sailor,https://en.wikipedia.org/wiki/Popeye_the_Sailor_(TV_series)
The Flintstones,https://en.wikipedia.org/wiki/The_Flintstones
The Muppet Show,https://en.wikipedia.org/wiki/The_Muppet_Show
Thomas & Friends,https://en.wikipedia.org/wiki/Thomas_%26_Friends
Postman Pat,https://en.wikipedia.org/wiki/Postman_Pat
LazyTown,https://en.wikipedia.org/wiki/LazyTown
Mickey Mouse,https://en.wikipedia.org/wiki/Mickey_Mouse_(TV_series)
The Wonderful World of Mickey Mouse,https://en.wikipedia.org/wiki/The_Wonderful_World_of_Mickey_Mouse
Bernard's Watch,https://en.wikipedia.org/wiki/Bernard%27s_Watch
Trapped!,https://en.wikipedia.org/wiki/Trapped!_(TV_series)
Mr. Men,https://en.wikipedia.org/wiki/Mr._Men#Original_TV_series_(1974%E2%80%931978)
Little Miss,https://en.wikipedia.org/wiki/Mr._Men#Little_Miss_TV_series_(1983)
Mr. Men and Little Miss,https://en.wikipedia.org/wiki/Mr._Men_and_Little_Miss
The Mr. Men Show,https://en.wikipedia.org/wiki/The_Mr._Men_Show
Squid Game,https://en.wikipedia.org/wiki/Squid_Game
Guardian: The Lonely and Great God,https://en.wikipedia.org/wiki/Guardian:_The_Lonely_and_Great_God
Sky Castle,https://en.wikipedia.org/wiki/Sky_Castle
Crash Landing on You,https://en.wikipedia.org/wiki/Crash_Landing_on_You
Road Wars,https://en.wikipedia.org/wiki/Road_Wars_(TV_series)
MythBusters,https://en.wikipedia.org/wiki/MythBusters
How It's Made,https://en.wikipedia.org/wiki/How_It%27s_Made
How Stuff Works,https://en.wikipedia.org/wiki/HowStuffWorks
Snackmasters,https://en.wikipedia.org/wiki/Snackmasters
Last Week Tonight with John Oliver,https://en.wikipedia.org/wiki/Last_Week_Tonight_with_John_Oliver
Can't Get You Out of My Head,https://en.wikipedia.org/wiki/Can%27t_Get_You_Out_of_My_Head_(TV_series)
Russia 1985-1999: TraumaZone,https://en.wikipedia.org/wiki/Russia_1985%E2%80%931999:_TraumaZone
Patriot Act with Hasan Minhaj,https://en.wikipedia.org/wiki/Patriot_Act_with_Hasan_Minhaj
Louis Theroux's Weird Weekends,https://en.wikipedia.org/wiki/Louis_Theroux%27s_Weird_Weekends
Louis Theroux's BBC Two specials,https://en.wikipedia.org/wiki/Louis_Theroux%27s_BBC_Two_specials
Life on Earth,https://en.wikipedia.org/wiki/Life_on_Earth_(TV_series)
Planet Earth,https://en.wikipedia.org/wiki/Planet_Earth_(franchise)
Our Planet,https://en.wikipedia.org/wiki/Our_Planet
The Blue Planet,https://en.wikipedia.org/wiki/The_Blue_Planet
Frozen Planet,https://en.wikipedia.org/wiki/Frozen_Planet
Human Planet,https://en.wikipedia.org/wiki/Human_Planet
Cosmos: Possible Worlds,https://en.wikipedia.org/wiki/Cosmos:_Possible_Worlds
Cosmos: A Spacetime Odyssey,https://en.wikipedia.org/wiki/Cosmos:_A_Spacetime_Odyssey
Cosmos: A Personal Voyage,https://en.wikipedia.org/wiki/Cosmos:_A_Personal_Voyage
Ways of Seeing,https://en.wikipedia.org/wiki/Ways_of_Seeing
It's Always Sunny in Philadelphia,https://en.wikipedia.org/wiki/It%27s_Always_Sunny_in_Philadelphia
The Office,https://en.wikipedia.org/wiki/The_Office_(American_TV_series)
Late Night with Conan O'Brien,https://en.wikipedia.org/wiki/Late_Night_with_Conan_O%27Brien
The Tonight Show with Conan O'Brien,https://en.wikipedia.org/wiki/The_Tonight_Show_with_Conan_O%27Brien
Conan,https://en.wikipedia.org/wiki/Conan_(talk_show)
Seinfeld,https://en.wikipedia.org/wiki/Seinfeld
King of the Hill,https://en.wikipedia.org/wiki/King_of_the_Hill
Beavis and Butt-Head,https://en.wikipedia.org/wiki/Beavis_and_Butt-Head
Friends,https://en.wikipedia.org/wiki/Friends
The Big Bang Theory,https://en.wikipedia.org/wiki/The_Big_Bang_Theory
The Fresh Prince of Bel-Air,https://en.wikipedia.org/wiki/The_Fresh_Prince_of_Bel-Air
Mr. Bean,https://en.wikipedia.org/wiki/Mr._Bean
The Inbetweeners,https://en.wikipedia.org/wiki/The_Inbetweeners
Peep Show,https://en.wikipedia.org/wiki/Peep_Show_(British_TV_series)
Impractical Jokers,https://en.wikipedia.org/wiki/Impractical_Jokers
The Eric Andre Show,https://en.wikipedia.org/wiki/The_Eric_Andre_Show
2 Broke Girls,https://en.wikipedia.org/wiki/2_Broke_Girls
Saturday Night Live,https://en.wikipedia.org/wiki/Saturday_Night_Live
Fonejacker,https://en.wikipedia.org/wiki/Fonejacker
The Simpsons,https://en.wikipedia.org/wiki/The_Simpsons
Curb Your Enthusiasm,https://en.wikipedia.org/wiki/Curb_Your_Enthusiasm
Da Ali G Show,https://en.wikipedia.org/wiki/Da_Ali_G_Show
Ali G Indahouse,https://en.wikipedia.org/wiki/Ali_G_Indahouse
The Ricky Gervais Show,https://en.wikipedia.org/wiki/The_Ricky_Gervais_Show
Tom and Jerry Shorts,https://en.wikipedia.org/wiki/Tom_and_Jerry_filmography
Community,https://en.wikipedia.org/wiki/Community_(TV_series)
Mind Your Language,https://en.wikipedia.org/wiki/Mind_Your_Language
Little Britain,https://en.wikipedia.org/wiki/Little_Britain_(TV_series)
Rick and Morty,https://en.wikipedia.org/wiki/Rick_and_Morty
Chappelle's Show,https://en.wikipedia.org/wiki/Chappelle%27s_Show
Blackadder,https://en.wikipedia.org/wiki/Blackadder
Fawlty Towers,https://en.wikipedia.org/wiki/Fawlty_Towers
Only Fools and Horses,https://en.wikipedia.org/wiki/Only_Fools_and_Horses
Monty Python's Flying Circus,https://en.wikipedia.org/wiki/Monty_Python%27s_Flying_Circus
Goodness Gracious Me,https://en.wikipedia.org/wiki/Goodness_Gracious_Me_(TV_series)
The Three Stooges Shorts,https://en.wikipedia.org/wiki/The_Three_Stooges_filmography
Fresh Off the Boat,https://en.wikipedia.org/wiki/Fresh_Off_the_Boat
Black-ish,https://en.wikipedia.org/wiki/Black-ish
Takeshi's Castle,https://en.wikipedia.org/wiki/Takeshi%27s_Castle
Modern Family,https://en.wikipedia.org/wiki/Modern_Family
The Goldbergs,https://en.wikipedia.org/wiki/The_Goldbergs_(2013_TV_series)
Code Geass: Lelouch of the Rebellion,https://en.wikipedia.org/wiki/Code_Geass
Monster,https://en.wikipedia.org/wiki/List_of_Monster_episodes
Dragon Ball,https://en.wikipedia.org/wiki/Dragon_Ball_(TV_series)
Dragon Ball Z Kai,https://en.wikipedia.org/wiki/List_of_Dragon_Ball_Z_Kai_episodes
Dragon Ball GT,https://en.wikipedia.org/wiki/Dragon_Ball_GT
Dragon Ball Super,https://en.wikipedia.org/wiki/Dragon_Ball_Super
Yu-Gi-Oh!,https://en.wikipedia.org/wiki/Yu-Gi-Oh!
Yu-Gi-Oh!,https://en.wikipedia.org/wiki/Yu-Gi-Oh!_Duel_Monsters
Yu-Gi-Oh! GX,https://en.wikipedia.org/wiki/Yu-Gi-Oh!_GX
Yu-Gi-Oh! 5D's,https://en.wikipedia.org/wiki/Yu-Gi-Oh!_5D%27s
Pokémon,https://en.wikipedia.org/wiki/Pok%C3%A9mon_(TV_series)
The Promised Neverland,https://en.wikipedia.org/wiki/List_of_The_Promised_Neverland_episodes
Death Note,https://en.wikipedia.org/wiki/List_of_Death_Note_episodes
Fullmetal Alchemist: Brotherhood,https://en.wikipedia.org/wiki/Fullmetal_Alchemist:_Brotherhood
One Piece,https://en.wikipedia.org/wiki/One_Piece_(1999_TV_series)
Naruto,https://en.wikipedia.org/wiki/Naruto_(TV_series)
Cowboy Bebop,https://en.wikipedia.org/wiki/Cowboy_Bebop
Attack on Titan,https://en.wikipedia.org/wiki/Attack_on_Titan_(TV_series)
Neon Genesis Evangelion,https://en.wikipedia.org/wiki/Neon_Genesis_Evangelion
Fargo,https://en.wikipedia.org/wiki/Fargo_(TV_series)
Twin Peaks,https://en.wikipedia.org/wiki/Twin_Peaks
Game of Thrones,https://en.wikipedia.org/wiki/Game_of_Thrones
House of the Dragon,https://en.wikipedia.org/wiki/House_of_the_Dragon
Peaky Blinders,https://en.wikipedia.org/wiki/Peaky_Blinders_(TV_series)
The Boys,https://en.wikipedia.org/wiki/The_Boys_(TV_series)
Vikings,https://en.wikipedia.org/wiki/Vikings_(TV_series)
The Last of Us,https://en.wikipedia.org/wiki/The_Last_of_Us_(TV_series)
Never Have I Ever,https://en.wikipedia.org/wiki/Never_Have_I_Ever_(TV_series)
Stranger Things,https://en.wikipedia.org/wiki/Stranger_Things
Money Heist,https://en.wikipedia.org/wiki/Money_Heist
Chernobyl,https://en.wikipedia.org/wiki/Chernobyl_(miniseries)
Breaking Bad,https://en.wikipedia.org/wiki/Breaking_Bad
Better Call Saul,https://en.wikipedia.org/wiki/Better_Call_Saul
4 Blocks,https://en.wikipedia.org/wiki/4_Blocks
Doctor Who,https://en.wikipedia.org/wiki/Doctor_Who
WWE,https://en.wikipedia.org/wiki/List_of_WWE_television_programming
House,https://en.wikipedia.org/wiki/House_(TV_series)
WandaVision,https://en.wikipedia.org/wiki/WandaVision
The Falcon and the Winter Soldier,https://en.wikipedia.org/wiki/The_Falcon_and_the_Winter_Soldier
Loki,https://en.wikipedia.org/wiki/Loki_(TV_series)
What If...?,https://en.wikipedia.org/wiki/What_If...%3F_(TV_series)
Hawkeye,https://en.wikipedia.org/wiki/Hawkeye_(miniseries)
Moon Knight,https://en.wikipedia.org/wiki/Moon_Knight_(miniseries)
Ms. Marvel,https://en.wikipedia.org/wiki/Ms._Marvel_(miniseries)
The Great British Bake Off,https://en.wikipedia.org/wiki/The_Great_British_Bake_Off
MasterChef,https://en.wikipedia.org/wiki/MasterChef_(British_TV_series)
Trade Your Way to the USA,https://en.wikipedia.org/wiki/Trade_Your_Way_to_the_USA
Dragons' Den,https://en.wikipedia.org/wiki/Dragons%27_Den_(British_TV_programme)
Dark,https://en.wikipedia.org/wiki/Dark_(TV_series)
Black Mirror,https://en.wikipedia.org/wiki/Black_Mirror
Band of Brothers,https://en.wikipedia.org/wiki/Band_of_Brothers_(miniseries)
Atlanta,https://en.wikipedia.org/wiki/Atlanta_(TV_series)
The Sopranos,https://en.wikipedia.org/wiki/The_Sopranos
The Wire,https://en.wikipedia.org/wiki/The_Wire
True Detective,https://en.wikipedia.org/wiki/True_Detective
The Crown,https://en.wikipedia.org/wiki/The_Crown_(TV_series)
Narcos,https://en.wikipedia.org/wiki/Narcos
Sherlock,https://en.wikipedia.org/wiki/Sherlock_(TV_series)
Mahabharat,https://en.wikipedia.org/wiki/Mahabharat_(1988_TV_series)
The Twilight Zone,https://en.wikipedia.org/wiki/The_Twilight_Zone_(1959_TV_series)
Endless,https://en.wikipedia.org/wiki/Endless_(Frank_Ocean_album)
Blonde,https://en.wikipedia.org/wiki/Blonde_(Frank_Ocean_album)
Channel Orange,https://en.wikipedia.org/wiki/Channel_Orange
"Nostalgia, Ultra","https://en.wikipedia.org/wiki/Nostalgia,_Ultra"
Dawn FM,https://en.wikipedia.org/wiki/Dawn_FM
After Hours,https://en.wikipedia.org/wiki/After_Hours_(The_Weeknd_album)
Starboy,https://en.wikipedia.org/wiki/Starboy_(album)
Beauty Behind the Madness,https://en.wikipedia.org/wiki/Beauty_Behind_the_Madness
Kiss Land,https://en.wikipedia.org/wiki/Kiss_Land
Echoes of Silence,https://en.wikipedia.org/wiki/Echoes_of_Silence
Thursday,https://en.wikipedia.org/wiki/Thursday_(album)
House of Balloons,https://en.wikipedia.org/wiki/House_of_Balloons
King of the Fall,https://en.wikipedia.org/wiki/King_of_the_Fall
New Blue Sun,https://en.wikipedia.org/wiki/New_Blue_Sun
Days Before Rodeo,https://en.wikipedia.org/wiki/Days_Before_Rodeo
Rodeo,https://en.wikipedia.org/wiki/Rodeo_(Travis_Scott_album)
Birds in the Trap Sing McKnight,https://en.wikipedia.org/wiki/Birds_in_the_Trap_Sing_McKnight
Astroworld,https://en.wikipedia.org/wiki/Astroworld_(album)
Utopia,https://en.wikipedia.org/wiki/Utopia_(Travis_Scott_album)
JACKBOYS,https://en.wikipedia.org/wiki/JackBoys
Highest in the Room,https://en.wikipedia.org/wiki/Highest_in_the_Room
The Scotts,https://en.wikipedia.org/wiki/The_Scotts
Franchise,https://en.wikipedia.org/wiki/Franchise_(song)
Escape Plan,https://en.wikipedia.org/wiki/Escape_Plan_(song)
Mafia,https://en.wikipedia.org/wiki/Mafia_(Travis_Scott_song)
The College Dropout,https://en.wikipedia.org/wiki/The_College_Dropout
Late Registration,https://en.wikipedia.org/wiki/Late_Registration
Graduation,https://en.wikipedia.org/wiki/Graduation_(album)
808s & Heartbreak,https://en.wikipedia.org/wiki/808s_%26_Heartbreak
My Beautiful Dark Twisted Fantasy,https://en.wikipedia.org/wiki/My_Beautiful_Dark_Twisted_Fantasy
Yeezus,https://en.wikipedia.org/wiki/Yeezus
The Life of Pablo,https://en.wikipedia.org/wiki/The_Life_of_Pablo
Ye,https://en.wikipedia.org/wiki/Ye_(album)
Kids See Ghosts,https://en.wikipedia.org/wiki/Kids_See_Ghosts_(album)
Jesus Is King,https://en.wikipedia.org/wiki/Jesus_Is_King
Donda,https://en.wikipedia.org/wiki/Donda
Donda 2,https://en.wikipedia.org/wiki/Donda_2
Vultures 1,https://en.wikipedia.org/wiki/Vultures_1
Only One,https://en.wikipedia.org/wiki/Only_One_(Kanye_West_song)
FourFiveSeconds,https://en.wikipedia.org/wiki/FourFiveSeconds
All Day,https://en.wikipedia.org/wiki/All_Day_(Kanye_West_song)
Lift Yourself,https://en.wikipedia.org/wiki/Lift_Yourself
XTCY,https://en.wikipedia.org/wiki/XTCY
Wash Us in the Blood,https://en.wikipedia.org/wiki/Wash_Us_in_the_Blood
Playboi Carti,https://en.wikipedia.org/wiki/Playboi_Carti_(mixtape)
Die Lit,https://en.wikipedia.org/wiki/Die_Lit
Whole Lotta Red,https://en.wikipedia.org/wiki/Whole_Lotta_Red
Call Me If You Get Lost,https://en.wikipedia.org/wiki/Call_Me_If_You_Get_Lost
Igor,https://en.wikipedia.org/wiki/Igor_(album)
Flower Boy,https://en.wikipedia.org/wiki/Flower_Boy
Cherry Bomb,https://en.wikipedia.org/wiki/Cherry_Bomb_(album)
Wolf,"https://en.wikipedia.org/wiki/Wolf_(Tyler,_the_Creator_album)"
Goblin,https://en.wikipedia.org/wiki/Goblin_(album)
Die For My Bitch,https://en.wikipedia.org/wiki/Die_for_My_Bitch
The Melodic Blue,https://en.wikipedia.org/wiki/The_Melodic_Blue
Section.80,https://en.wikipedia.org/wiki/Section.80
"Good Kid, M.A.A.D City","https://en.wikipedia.org/wiki/Good_Kid,_M.A.A.D_City"
To Pimp a Butterfly,https://en.wikipedia.org/wiki/To_Pimp_a_Butterfly
Damn,https://en.wikipedia.org/wiki/Damn_(Kendrick_Lamar_album)
Mr. Morale & the Big Steppers,https://en.wikipedia.org/wiki/Mr._Morale_%26_the_Big_Steppers
The Hillbillies,https://en.wikipedia.org/wiki/The_Hillbillies
Ignorance Is Bliss,https://en.wikipedia.org/wiki/Ignorance_Is_Bliss_(Skepta_album)
Konnichiwa,https://en.wikipedia.org/wiki/Konnichiwa_(Skepta_album)
All In,https://en.wikipedia.org/wiki/Skepta_discography#EPs
Insomnia,"https://en.wikipedia.org/wiki/Insomnia_(Skepta,_Chip_and_Young_Adz_album)"
Grime MC,https://en.wikipedia.org/wiki/Jme#Studio_albums
Integrity>,https://en.wikipedia.org/wiki/Integrity_(album)
Scaring the Hoes,https://en.wikipedia.org/wiki/Scaring_the_Hoes
Lord Willin',https://en.wikipedia.org/wiki/Lord_Willin%27
My Name Is My Name,https://en.wikipedia.org/wiki/My_Name_Is_My_Name
King Push - Darkest Before Dawn: The Prelude,https://en.wikipedia.org/wiki/King_Push_%E2%80%93_Darkest_Before_Dawn:_The_Prelude
Daytona,https://en.wikipedia.org/wiki/Daytona_(album)
It's Almost Dry,https://en.wikipedia.org/wiki/It%27s_Almost_Dry
Heaven or Hell,https://en.wikipedia.org/wiki/Heaven_or_Hell_(album)
Life of a Don,https://en.wikipedia.org/wiki/Life_of_a_Don
Love Sick,https://en.wikipedia.org/wiki/Love_Sick_(album)
Without Warning,https://en.wikipedia.org/wiki/Without_Warning_(album)
Savage Mode,https://en.wikipedia.org/wiki/Savage_Mode
Savage Mode II,https://en.wikipedia.org/wiki/Savage_Mode_II
Her Loss,https://en.wikipedia.org/wiki/Her_Loss
Heroes & Villains,https://en.wikipedia.org/wiki/Heroes_%26_Villains
Not All Heroes Wear Capes,https://en.wikipedia.org/wiki/Not_All_Heroes_Wear_Capes
Culture,https://en.wikipedia.org/wiki/Culture_(album)
Kiwanuka,https://en.wikipedia.org/wiki/Kiwanuka_(album)
SuperM,https://en.wikipedia.org/wiki/SuperM_(EP)
Super One,https://en.wikipedia.org/wiki/Super_One_(album)
Obsession,https://en.wikipedia.org/wiki/Obsession_(Exo_album)
Don't Mess Up My Tempo,https://en.wikipedia.org/wiki/Don%27t_Mess_Up_My_Tempo
The War,https://en.wikipedia.org/wiki/The_War_(album)
Ex'Act,https://en.wikipedia.org/wiki/Ex%27Act
Exodus,https://en.wikipedia.org/wiki/Exodus_(Exo_album)
Feel Special,https://en.wikipedia.org/wiki/Feel_Special
Fancy You,https://en.wikipedia.org/wiki/Fancy_You_(EP)
It'z Different,https://en.wikipedia.org/wiki/It%27z_Different
It'z Icy,https://en.wikipedia.org/wiki/It%27z_Icy
Not Shy,https://en.wikipedia.org/wiki/Not_Shy
Map of the Soul: Persona,https://en.wikipedia.org/wiki/Map_of_the_Soul:_Persona
Map of the Soul: 7,https://en.wikipedia.org/wiki/Map_of_the_Soul:_7
Proof,https://en.wikipedia.org/wiki/Proof_(album)
Testing,https://en.wikipedia.org/wiki/Testing_(album)
Live. Love. ASAP,https://en.wikipedia.org/wiki/Live._Love._ASAP
DS2,https://en.wikipedia.org/wiki/DS2_(album)
The Land Is Inhospitable and So Are We,https://en.wikipedia.org/wiki/The_Land_Is_Inhospitable_and_So_Are_We
The Last of Us,https://en.wikipedia.org/wiki/The_Last_of_Us
The Last of Us Part II,https://en.wikipedia.org/wiki/The_Last_of_Us_Part_II
Baldur's Gate 3,https://en.wikipedia.org/wiki/Baldur%27s_Gate_3
Payday 2,https://en.wikipedia.org/wiki/Payday_2
God of War,https://en.wikipedia.org/wiki/God_of_War_(2005_video_game)
God of War: Chains of Olympus,https://en.wikipedia.org/wiki/God_of_War:_Chains_of_Olympus
God of War II,https://en.wikipedia.org/wiki/God_of_War_II
God of War: Ghost of Sparta,https://en.wikipedia.org/wiki/God_of_War:_Ghost_of_Sparta
God of War III,https://en.wikipedia.org/wiki/God_of_War_III
God of War: Ascension,https://en.wikipedia.org/wiki/God_of_War:_Ascension
God of War,https://en.wikipedia.org/wiki/God_of_War_(2018_video_game)
God of War Ragnarök,https://en.wikipedia.org/wiki/God_of_War_Ragnar%C3%B6k
Doom,https://en.wikipedia.org/wiki/Doom_(1993_video_game)
Doom II,https://en.wikipedia.org/wiki/Doom_II
Doom 3: BFG Edition,https://en.wikipedia.org/wiki/Doom_3:_BFG_Edition
Doom,https://en.wikipedia.org/wiki/Doom_(2016_video_game)
Doom Eternal,https://en.wikipedia.org/wiki/Doom_Eternal
Tomb Raider,https://en.wikipedia.org/wiki/Tomb_Raider_(2013_video_game)
Rise of the Tomb Raider,https://en.wikipedia.org/wiki/Rise_of_the_Tomb_Raider
Shadow of the Tomb Raider,https://en.wikipedia.org/wiki/Shadow_of_the_Tomb_Raider
Undertale,https://en.wikipedia.org/wiki/Undertale
Mother,https://en.wikipedia.org/wiki/Mother_(video_game)
EarthBound,https://en.wikipedia.org/wiki/Mother_2
Mother 3,https://en.wikipedia.org/wiki/Mother_3
The Forest,https://en.wikipedia.org/wiki/The_Forest_(video_game)
Sons of the Forest,https://en.wikipedia.org/wiki/Sons_of_the_Forest
Portal,https://en.wikipedia.org/wiki/Portal_(video_game)
Portal 2,https://en.wikipedia.org/wiki/Portal_2
Half-Life,https://en.wikipedia.org/wiki/Half-Life_(video_game)
Half-Life 2,https://en.wikipedia.org/wiki/Half-Life_2
